"Kod";"Nazwa";"ogółem";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70 i więcej";"70-74";"75-79";"80-84";"85 i więcej";"0-14";
0200000;"DOLNOŚLĄSKIE";2891321;137082;137412;149007;124292;136330;170962;215944;258513;242018;204657;162216;170857;213829;210384;357818;157986;71277;64369;64186;423501;
0400000;"KUJAWSKO-POMORSKIE";2061942;97298;100602;113774;100376;110681;133071;149473;171071;162284;145804;124615;127347;148074;135006;242466;107215;51810;42872;40569;311674;
0600000;"LUBELSKIE";2095258;96530;100013;110771;102437;116778;139887;152324;168715;159503;144587;127687;129842;146259;136334;263591;103142;61741;49809;48899;307314;
0800000;"LUBUSKIE";1007145;47126;50137;56266;47675;52294;63292;72651;86383;83450;71236;57788;60849;74442;69749;113807;53121;22599;19562;18525;153529;
1000000;"ŁÓDZKIE";2437970;111040;114899;124950;108807;120636;149321;166543;195584;193411;172618;147733;148739;179713;174737;329239;141119;72248;58153;57719;350889;
1200000;"MAŁOPOLSKIE";3410441;186011;178535;187930;166795;184601;224586;265644;290747;269888;235915;205464;203765;217737;198522;394301;151592;91294;78937;72478;552476;
1400000;"MAZOWIECKIE";5425028;300200;291567;304699;252727;261863;320715;399015;472177;459311;391037;309863;300082;355443;347371;658958;260784;145606;124202;128366;896466;
1600000;"OPOLSKIE";976774;42623;42916;46085;42011;48818;59950;72876;80270;76462;69617;65405;68394;72305;64811;124231;48377;26781;26457;22616;131624;
1800000;"PODKARPACKIE";2121229;104103;103600;113591;107143;123157;147336;162607;174287;164975;148060;130695;133154;140401;125914;242206;94372;54289;48561;44984;321294;
2000000;"PODLASKIE";1173286;56993;54840;60448;55719;63986;79941;88453;95027;87248;80330;74661;77727;84111;69853;143949;51976;33494;29019;29460;172281;
2200000;"POMORSKIE";2346671;131520;127042;136977;115259;122669;148443;179404;200656;187282;163686;134642;135493;154702;147702;261194;113800;55309;47566;44519;395539;
2400000;"ŚLĄSKIE";4492330;208260;217121;229578;195289;213618;262999;322430;373823;360728;314954;279289;291569;334909;308744;579019;229956;140530;114712;93821;654959;
2600000;"ŚWIĘTOKRZYSKIE";1224626;51483;54875;61612;56821;65504;80186;85428;97985;95022;85031;73970;77303;91248;85852;162306;65894;35016;31180;30216;167970;
2800000;"WARMIŃSKO-MAZURSKIE";1416495;66150;70271;79301;70615;78896;94188;104007;118108;111080;97854;85713;91682;104592;91639;152399;65961;31813;28020;26605;215722;
3000000;"WIELKOPOLSKIE";3496450;190387;187742;201160;170335;183429;222815;264424;299865;284580;247285;203561;203472;233360;216472;387563;179635;78955;67428;61545;579289;
3200000;"ZACHODNIOPOMORSKIE";1688047;75430;78898;89479;78009;86425;105029;118939;142520;137888;120570;98736;103153;129123;122505;201343;91998;40730;34870;33745;243807;
