"Kod";"Nazwa";"ogółem";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70 i więcej";"70-74";"75-79";"80-84";"85 i więcej";"0-14";
0201000;"Powiat bolesławiecki";89762;4182;4260;4868;4175;4739;5760;6740;7331;7275;6491;5167;5597;6776;6170;10231;4392;2187;1896;1756;13310;
0202000;"Powiat dzierżoniowski";99935;3924;4295;4772;4234;4712;5857;6812;8221;8068;6957;5875;6495;8214;7893;13606;5624;2633;2613;2736;12991;
0203000;"Powiat głogowski";88447;3800;4409;5180;4263;4572;5018;6037;7434;7766;6482;4727;4940;6563;7042;10214;5451;1992;1571;1200;13389;
0204000;"Powiat górowski";34552;1493;1673;1917;1866;2121;2539;2428;2670;2529;2371;2046;2177;2581;2324;3817;1704;796;635;682;5083;
0205000;"Powiat jaworski";49734;2112;2170;2608;2251;2613;3103;3574;4123;3976;3347;2919;3261;4102;3795;5780;2664;1065;946;1105;6890;
0206000;"Powiat karkonoski";63333;2279;2646;3181;2969;3147;3709;4189;5246;5414;4794;3819;4090;5388;5290;7172;3503;1274;1170;1225;8106;
0207000;"Powiat kamiennogórski";42824;1644;1760;2195;2019;2371;2739;2896;3456;3399;3001;2487;2944;3387;3204;5322;2360;933;1072;957;5599;
0208000;"Powiat kłodzki";156283;5718;6458;7651;6526;7631;9562;10346;12725;12893;10821;8967;10314;13126;12290;21255;9471;4083;3978;3723;19827;
0209000;"Powiat legnicki";55110;2543;2712;3111;2692;2948;3595;3831;4665;4446;3938;3273;3503;4276;3747;5830;2623;1101;1027;1079;8366;
0210000;"Powiat lubański";53852;2050;2272;2694;2524;2918;3540;3685;4403;4398;4071;3054;3345;4102;4221;6575;3166;1237;1096;1076;7016;
0211000;"Powiat lubiński";105896;4949;5167;5595;4765;5150;6213;6997;8435;9159;7950;5949;6062;7759;8058;13688;6704;2899;2340;1745;15711;
0212000;"Powiat lwówecki";45599;1828;2014;2227;2251;2493;3145;3265;3754;3573;3031;2631;2951;3776;3508;5152;2381;964;862;945;6069;
0213000;"Powiat milicki";36800;1808;1936;2222;2115;2038;2276;2564;3087;2902;2508;2002;2124;2578;2539;4101;1961;836;669;635;5966;
0214000;"Powiat oleśnicki";107268;5495;5548;5977;5139;5575;6998;8005;9277;8765;7678;6332;6400;7175;6950;11954;5506;2542;2023;1883;17020;
0215000;"Powiat oławski";76733;3884;3808;4486;3480;3837;4523;5365;6728;6783;5682;4338;4389;5280;5370;8780;4269;1884;1399;1228;12178;
0216000;"Powiat polkowicki";62997;3217;3297;3736;3194;3619;4521;4573;5115;4965;4652;3989;3880;4240;3691;6308;3026;1387;1058;837;10250;
0217000;"Powiat strzeliński";43221;2012;2064;2275;1937;2344;2816;3030;3605;3459;3088;2598;2720;3307;3049;4917;2183;969;868;897;6351;
0218000;"Powiat średzki";55508;2878;2961;3284;2599;2881;3672;4179;4863;4863;4228;3298;3322;3866;3339;5275;2398;1046;960;871;9123;
0219000;"Powiat świdnicki";156015;6594;7110;7985;6789;7669;9300;11041;13299;12721;11109;9078;9891;11966;11965;19498;8673;3775;3576;3474;21689;
0220000;"Powiat trzebnicki";85226;4135;4290;5100;4186;4498;5405;6230;7355;7175;6310;4994;5004;6187;5607;8750;4232;1715;1397;1406;13525;
0221000;"Powiat wałbrzyski";55107;2089;2320;2744;2420;2728;3472;3810;4617;4424;3822;3322;3613;4672;4156;6898;2790;1327;1392;1389;7153;
0222000;"Powiat wołowski";46623;2237;2192;2309;2044;2314;3104;3449;3819;3721;3364;2862;2928;3557;3236;5487;2365;1069;1077;976;6738;
0223000;"Powiat wrocławski";156322;10664;10026;10527;7369;7288;8991;12480;15813;14790;12179;8631;7788;9064;8275;12437;5750;2530;1931;2226;31217;
0224000;"Powiat ząbkowicki";64080;2319;2783;3139;2930;3280;4208;4532;5206;4953;4631;3849;4230;5119;4886;8015;3672;1568;1374;1401;8241;
0225000;"Powiat zgorzelecki";88386;3354;3844;4440;3890;4553;5660;6020;7288;7231;6445;5282;5907;7179;6543;10750;4725;2172;2052;1801;11638;
0226000;"Powiat złotoryjski";43038;1747;1915;2346;1861;2288;2791;3120;3749;3469;3040;2397;2842;3478;3316;4679;2237;851;762;829;6008;
0261000;"Powiat m.Jelenia Góra";78335;2957;3270;3419;3010;3233;4011;5024;6493;6416;5328;4424;4800;6587;7074;12289;5205;2562;2214;2308;9646;
0262000;"Powiat m.Legnica";98436;4604;4518;4805;4077;4656;5729;7077;8365;7960;6883;5700;5973;7550;7732;12807;5892;2538;2315;2062;13927;
0264000;"Powiat m.Wrocław";641928;36540;31327;29238;22158;23201;32674;57366;68152;55668;43297;32069;32190;41934;45785;90329;36514;18134;16814;18867;97105;
0265000;"Powiat m.Wałbrzych od 2013";109971;4026;4367;4976;4559;4913;6031;7279;9219;8857;7159;6137;7177;10040;9329;15902;6545;3208;3282;2867;13369;
0401000;"Powiat aleksandrowski";54891;2398;2509;2980;2580;3088;3551;3995;4409;4149;3916;3292;3471;4161;3683;6709;2953;1485;1183;1088;7887;
0402000;"Powiat brodnicki";79023;4431;4388;4861;4144;4591;5764;6023;6568;5997;5335;4631;4850;5266;4441;7733;3398;1585;1400;1350;13680;
0403000;"Powiat bydgoski";120432;6008;6588;7881;6653;6871;7826;8532;10206;10477;9587;7871;7160;7720;6463;10589;5004;2303;1650;1632;20477;
0404000;"Powiat chełmiński";51657;2411;2632;3049;2687;3007;3556;3799;4364;3960;3626;3195;3236;3667;3116;5352;2357;1192;890;913;8092;
0405000;"Powiat golubsko-dobrzyński";44855;2290;2360;2553;2283;2857;3361;3373;3576;3294;2960;2798;2845;3040;2623;4642;1968;975;902;797;7203;
